,76,,C-28-207-1159-78,"Eurosport HD",DCT0,
,165,,C-28-216-1331-88,"Telekom Sport 5 HD",DCT0,
,166,,C-28-216-1332-88,"Telekom Sport 6 HD",DCT0,
,148,,C-28-208-1175-79,"PRO X",DCT0,


# docs - games
,89,,C-28-204-1077-75,"Ginx",DCT0,

# shop & films
,167,,C-28-209-1292-80,"Telestar",DCT0,



,135,,C-28-216-1330-88,"Orange Info",DCT0,
,150,,C-65535-220-1501-87,"Regional 2",DCT0,
,176,,C-28-207-1151-78,"TV City",DCT0,
,180,,C-28-203-1057-74,"TVH",DCT0,

# lifestyle
,15,,C-28-203-1059-74,"6TV",DCT0,
,16,,C-28-203-1056-74,"Agro TV",DCT0,
,18,,C-28-206-1131-77,"AMS",DCT0,
,19,,C-28-215-1320-86,"AMS HD",DCT0,



# filme - soapopera
,64,,C-28-204-1082-75,"Diva Universal",DCT0,
,91,,C-28-217-1343-89,"Happy Channel HD",DCT0,
,35,,C-28-206-1127-77,"Bollywood Classic",DCT0,
,36,,C-28-214-1313-85,"Bollywood HD",DCT0,
,37,,C-28-206-1126-77,"Bollywood TV",DCT0,

# filme - clasice
,168,,C-28-210-1226-81,"TLC",DCT0,
,169,,C-28-205-1104-76,"TNT",DCT0,
,136,,C-28-210-1235-81,"Paramount",DCT0,
,145,,C-28-203-1052-74,"PRO GOLD",DCT0,
,144,,C-28-205-1103-76,"PRO CINEMA",DCT0,

# filme - action
,142,,C-28-203-1053-74,"PRO 2",DCT0,
,143,,C-28-203-1063-74,"PRO 2 HD",DCT0,
,175,,C-28-204-1084-75,"TV 1000",DCT0,
,25,,C-28-205-1100-76,"AXN",DCT0,
,26,,C-28-205-1101-76,"AXN Black",DCT0,
,27,,C-28-204-1087-75,"AXN HD",DCT0,
,28,,C-28-204-1085-75,"AXN Spin",DCT0,
,29,,C-28-205-1102-76,"AXN White",DCT0,
,43,,C-28-208-1188-79,"Cinemaraton HD",DCT0,
,92,,C-28-205-1105-76,"HBO",DCT0,
,93,,C-28-205-1106-76,"HBO 2",DCT0,
,94,,C-28-213-1303-84,"HBO 2 HD",DCT0,
,95,,C-28-216-1333-88,"HBO 3",DCT0,
,96,,C-28-216-1334-88,"HBO 3  HD",DCT0,
,97,,C-28-205-1111-76,"HBO HD",DCT0,
